"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0,0,0,2,0,0,0,3,2,0
0,1,0,2,1,0,0,2,3,2,0
0,0,0,1,0,0,0,0,6,2,0
0,1,0,1,0,0,0,0,2,2,0
0,0,0,0,1,0,0,0,0,0,0
0,0,5,0,0,0,0,0,6,5,1
1,0,1,0,0,0,0,0,2,0,0
1,0,0,0,0,2,0,1,6,0,1
1,0,0,2,0,0,0,3,0,0,0
1,0,0,1,1,0,0,3,1,1,0
1,0,0,1,0,0,0,1,1,0,0
1,1,0,0,0,0,0,3,2,0,0
1,0,0,0,0,0,0,0,5,3,0
1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,0,0,0,3,1,1
2,0,0,1,1,0,0,2,3,1,1
2,1,0,1,1,0,0,1,5,2,0
2,1,1,0,1,0,0,0,4,0,0
2,0,0,0,1,1,1,3,3,0,0
2,0,0,3,0,0,0,3,0,1,0
2,0,0,1,0,0,0,1,3,2,0
2,0,0,10,0,0,0,2,8,0,0
2,0,0,5,0,0,0,0,4,1,1
2,0,0,0,0,0,0,2,0,1,0
2,0,0,0,1,0,0,0,2,1,0
3,0,0,4,4,0,0,0,2,0,0
3,0,0,0,3,0,0,0,3,2,0
3,0,0,2,0,0,0,0,0,0,0
3,0,0,11,0,4,1,1,3,3,0
3,0,0,0,1,1,0,0,3,0,1
3,0,1,1,0,0,0,0,2,2,0
3,0,0,1,2,1,0,1,2,1,0
3,0,0,0,1,0,0,0,2,1,0
3,0,0,5,0,1,0,0,3,1,0
3,1,0,0,0,0,0,0,3,0,0
3,1,0,1,0,0,0,0,1,0,0
3,0,0,1,2,0,0,0,4,0,1
3,1,0,0,0,0,0,0,1,0,0
3,0,0,3,0,0,0,0,3,1,1
4,1,0,1,0,0,0,0,3,0,0
4,0,0,2,0,1,0,0,2,0,0
4,0,0,1,3,0,0,0,1,2,0
4,0,0,0,0,0,0,1,1,0,0
4,0,0,4,5,1,0,0,3,1,0
4,1,0,5,2,2,0,1,3,1,0
4,0,0,2,2,0,0,0,4,0,0
4,0,0,1,5,0,0,1,1,2,0
4,0,1,0,1,1,0,0,2,2,1
5,0,0,1,5,0,0,0,3,0,0
5,0,0,3,3,0,0,0,2,1,0
5,0,0,2,2,0,0,0,3,0,0
5,0,0,1,3,0,0,0,2,4,0
5,0,0,0,2,0,0,0,3,1,0
5,0,0,0,6,1,0,1,2,0,0
5,0,0,0,19,0,0,1,3,0,0
5,1,0,0,2,0,0,0,2,0,0
5,0,0,0,4,0,0,0,3,0,0
6,0,0,0,7,0,0,0,2,0,2
6,0,0,0,2,1,0,0,3,0,0
6,0,0,2,4,0,0,0,2,1,1
6,0,0,1,0,0,0,0,1,1,2
6,0,0,0,6,0,0,0,2,0,0
6,0,0,0,17,0,0,0,2,2,0
6,0,0,0,4,0,0,1,2,0,0
6,0,0,0,3,1,0,0,4,1,0
6,0,0,0,4,0,0,0,3,1,0
6,1,0,1,0,0,0,0,2,0,0
6,0,0,1,2,1,0,0,2,0,0
6,0,0,0,1,1,0,0,3,3,0
6,1,0,0,0,0,0,0,1,0,0
6,1,0,2,0,0,0,0,1,1,0
6,0,0,0,0,2,0,0,2,0,0
6,1,0,0,4,0,0,1,3,0,0
6,1,0,3,0,0,0,0,7,1,0
7,0,0,1,8,0,0,0,2,0,0
7,0,0,0,6,0,0,0,3,0,0
7,0,0,0,6,0,0,0,3,0,2
7,0,0,0,7,0,0,0,5,0,1
7,0,0,0,5,0,0,0,2,0,0
7,1,0,0,2,1,0,0,3,0,0
7,0,0,2,22,0,0,0,1,2,0
7,0,0,1,20,0,0,1,2,0,0
7,0,0,0,1,0,0,0,2,0,0
7,0,0,0,2,0,0,0,2,0,0
7,0,0,0,1,0,1,0,1,1,0
7,0,0,0,2,0,0,0,2,0,0
7,0,0,0,7,0,0,1,1,1,1
7,1,0,0,0,2,0,3,1,2,0
7,0,0,1,1,0,0,0,0,0,0
8,0,0,0,19,0,0,0,2,0,0
8,0,0,0,9,0,0,0,1,1,1
8,1,0,0,3,0,0,0,3,1,0
8,1,0,1,1,0,0,0,2,0,0
8,1,0,3,1,0,0,0,3,1,0
8,1,0,0,0,0,0,0,1,0,0
8,0,0,0,2,0,0,0,2,1,0
9,0,0,0,13,0,0,3,1,2,0
9,0,0,0,11,0,0,0,2,0,1
9,0,0,0,2,0,0,0,1,1,0
9,0,0,1,10,0,0,0,1,1,0
9,0,0,0,12,0,0,0,2,0,0
9,0,0,0,5,1,0,0,2,0,0
9,0,0,0,8,0,0,1,3,0,0
9,0,0,1,2,0,0,0,2,0,0
9,0,0,0,2,0,0,0,2,2,0
9,0,0,0,4,0,0,0,2,0,0
9,0,0,0,5,0,0,0,2,0,0
9,1,0,1,5,0,0,0,4,0,0
9,0,0,0,0,0,0,0,2,0,0
9,1,0,1,2,1,0,0,2,0,0
9,1,0,0,11,0,0,1,4,0,0
9,0,0,0,3,0,0,0,2,0,0
9,0,0,1,3,1,0,1,3,1,0
10,1,0,0,6,0,1,0,2,0,0
10,0,0,0,5,2,0,0,2,1,0
10,0,0,0,5,1,0,3,3,1,0
10,1,0,0,1,0,0,1,1,0,1
10,1,0,2,2,1,0,0,6,0,0
10,1,0,3,1,2,0,1,3,0,0
10,0,0,0,2,0,0,0,0,0,0
10,0,0,0,0,1,0,3,0,1,0
10,0,0,0,7,0,0,2,0,2,0
10,0,0,0,1,0,0,0,1,0,0
11,0,0,0,4,2,1,1,3,0,0
11,0,0,0,1,0,0,1,1,0,0
11,0,2,2,2,0,0,0,0,2,0
11,0,0,0,0,1,0,0,0,0,0
11,0,0,0,6,0,0,0,1,2,0
11,0,0,1,1,0,0,0,0,0,0
11,0,0,0,6,5,1,0,1,0,0
11,0,0,0,4,1,0,0,2,0,1
11,0,0,0,12,1,0,0,3,0,0
11,0,0,0,4,1,0,0,2,0,0
11,0,0,0,1,0,0,0,1,1,1
11,0,0,1,1,0,0,0,1,0,0
11,0,0,0,2,7,0,0,2,0,0
12,0,0,0,2,0,1,0,1,0,0
12,0,0,0,0,0,1,0,1,1,1
12,0,0,0,0,4,0,0,1,0,0
12,1,0,0,4,2,1,0,2,0,0
12,1,1,0,2,2,0,3,2,0,0
12,0,0,0,0,9,2,3,2,0,0
12,0,1,1,0,0,0,0,1,0,0
12,0,0,0,4,2,0,1,0,2,0
12,0,0,0,0,7,0,0,2,0,0
12,1,0,0,4,1,0,0,2,1,0
13,0,0,0,1,6,1,3,3,1,0
13,0,0,0,0,15,0,3,1,0,2
13,0,0,0,2,6,0,2,3,0,0
13,0,0,0,0,5,0,0,2,0,0
13,0,0,0,0,0,0,1,0,2,0
13,0,0,0,1,5,0,0,1,0,0
13,0,0,0,1,0,0,0,1,1,0
13,0,0,0,0,5,1,1,2,1,2
13,1,0,0,0,3,0,0,0,0,0
13,0,0,1,2,2,0,1,3,1,0
14,1,0,1,0,5,0,0,3,0,0
14,1,0,0,2,15,0,0,2,0,0
14,0,0,0,0,8,0,0,3,2,0
14,0,0,1,1,0,0,1,3,0,0
14,0,0,0,0,0,0,1,1,1,0
14,1,0,2,0,0,0,0,2,0,0
14,0,0,0,0,0,0,1,1,1,1
14,0,0,0,0,0,1,2,2,2,0
14,0,0,0,0,0,0,1,1,0,0
15,0,0,0,0,0,3,1,3,0,1
15,0,0,1,0,0,0,3,2,0,0
15,0,0,0,0,3,4,0,0,0,0
15,0,0,0,0,3,13,2,0,1,0
15,0,0,0,0,4,1,3,4,0,0
15,0,0,0,0,0,3,4,0,0,0
15,0,0,0,2,3,3,0,1,0,0
15,0,0,0,1,0,0,0,2,0,0
15,0,0,0,1,6,7,0,1,0,0
15,0,0,0,0,0,1,2,1,0,0
15,1,0,0,0,0,1,2,2,0,0
15,0,0,0,0,3,0,0,1,0,0
16,0,0,0,0,0,0,5,1,0,1
16,0,0,0,0,2,1,9,0,0,0
16,0,0,0,0,0,4,3,1,2,0
16,0,0,0,1,0,0,3,2,0,0
16,0,0,0,0,1,1,1,2,1,1
16,0,0,0,0,1,0,5,2,0,0
16,0,0,0,0,5,2,4,1,0,0
16,0,0,0,0,5,3,9,0,0,0
16,1,0,0,0,0,0,2,0,0,0
16,1,0,0,0,1,0,1,1,1,1
16,1,0,0,1,0,0,2,1,0,0
16,0,0,0,1,1,0,13,4,1,0
16,0,0,2,1,0,0,0,1,0,0
16,1,0,0,0,0,0,1,0,1,0
16,1,0,0,0,1,4,3,0,2,0
16,1,0,0,0,1,0,2,1,0,1
16,1,0,0,0,2,5,9,2,3,2
16,0,0,0,1,0,1,5,2,1,0
17,0,0,0,1,0,0,3,1,4,0
17,0,0,0,0,0,0,2,1,0,0
17,0,0,0,0,0,0,2,1,1,0
17,0,0,0,1,1,0,7,0,2,1
17,0,0,0,0,0,0,8,2,1,0
17,0,0,0,2,0,0,0,3,1,0
17,1,0,0,1,1,0,1,3,0,0
17,1,0,0,0,0,0,1,0,2,0
17,1,0,0,12,0,0,1,2,0,0
17,0,0,0,1,1,0,4,3,1,0
17,0,0,0,0,0,0,4,0,1,0
18,0,0,0,0,0,0,5,1,0,0
18,0,0,0,1,0,0,3,0,2,0
18,0,0,0,0,0,0,1,0,1,0
18,0,0,0,3,0,0,2,1,2,2
18,1,0,0,0,0,0,5,1,0,0
18,0,0,0,0,0,0,2,1,0,0
18,1,0,0,0,0,1,0,2,2,0
18,1,0,0,0,0,0,6,2,0,0
18,0,0,0,2,0,0,5,1,1,0
18,0,0,0,1,0,0,1,0,0,0
18,0,0,0,0,3,1,0,2,0,0
18,0,0,0,0,0,0,7,0,1,1
18,0,0,0,0,0,0,2,3,3,0
19,0,0,0,0,0,0,13,1,0,0
19,0,0,0,0,0,1,0,3,2,0
19,0,0,1,2,0,0,2,0,0,0
19,0,0,0,1,0,0,5,3,2,0
19,1,0,0,1,0,0,0,5,2,1
19,0,0,0,3,0,1,4,5,4,0
19,0,0,0,0,0,1,1,3,3,0
19,0,0,0,0,0,0,1,0,0,0
19,0,0,1,0,0,0,1,1,0,0
20,0,0,0,1,0,1,15,1,3,0
20,0,0,0,0,0,0,3,1,1,0
20,0,0,1,1,0,0,2,0,2,0
20,1,0,0,0,0,0,1,0,0,0
20,0,0,0,0,0,0,4,3,3,0
20,0,0,0,1,0,0,0,1,0,0
20,0,0,0,0,0,0,9,1,0,0
21,0,0,1,0,0,0,0,2,3,1
21,0,0,2,1,0,0,1,0,0,0
21,0,0,0,1,1,0,2,1,0,0
21,0,0,2,0,0,0,2,2,0,0
21,1,0,0,1,0,0,0,1,0,0
21,0,0,0,0,0,4,8,0,1,0
21,0,0,0,0,0,0,2,1,1,0
21,0,0,0,0,0,0,0,1,1,1
22,0,0,0,3,0,0,2,3,1,0
22,1,0,0,0,0,0,1,1,1,0
22,1,0,0,0,0,0,0,1,1,0
22,0,0,0,1,0,0,3,1,1,0
22,0,0,6,3,0,0,0,0,1,0
23,0,0,0,0,0,0,1,2,0,0
23,0,0,2,0,0,0,0,5,0,0
23,0,0,0,1,1,0,1,0,3,0
24,0,0,0,0,0,0,0,4,1,0
24,0,0,0,0,0,0,0,3,0,0
24,0,0,1,0,0,0,1,0,0,0
24,0,0,1,0,0,0,2,1,0,1
24,1,0,0,0,0,0,3,1,1,0
25,0,0,1,0,0,0,0,0,0,0
25,1,0,1,0,1,0,0,2,1,1
25,1,0,2,1,0,0,1,1,0,0
26,0,0,0,0,0,0,2,0,2,0
26,0,0,0,1,0,0,1,0,0,0
26,0,1,2,1,0,0,0,4,2,1
26,0,0,0,0,0,0,3,1,1,1
26,0,0,0,0,1,0,0,1,0,0
26,0,0,1,0,0,0,0,2,0,0
26,0,0,0,0,0,0,0,0,1,0
26,0,0,0,0,0,0,0,2,2,0
26,0,0,0,0,0,0,1,1,1,0
26,0,0,0,0,0,0,0,1,1,0
26,1,0,0,0,0,0,1,4,1,0
26,1,0,2,2,0,0,3,3,1,0
26,0,0,1,2,0,0,4,3,3,0
26,1,0,0,0,0,0,3,6,2,0
27,0,0,2,0,0,0,1,2,0,1
27,0,0,2,1,0,0,1,1,0,0
27,0,1,0,1,0,0,0,3,0,0
27,1,1,1,1,0,0,1,0,1,0
27,1,0,0,0,0,0,1,3,0,1
27,0,0,1,1,0,0,1,0,1,0
28,0,0,0,0,1,0,0,0,3,5
28,0,0,1,2,1,0,0,3,1,0
28,0,0,1,1,0,0,0,6,0,0
28,1,0,0,0,0,0,0,0,2,0
28,0,0,1,3,0,0,0,1,0,0
29,0,0,0,0,0,0,0,1,0,0
29,0,0,0,1,0,0,0,2,0,0
29,0,0,0,0,0,0,0,1,0,0
29,0,0,0,0,0,0,0,0,1,0
29,0,0,0,1,0,0,0,1,1,0
29,1,0,0,0,0,0,0,0,2,0
29,0,0,0,0,1,1,4,7,0,2
29,0,0,0,2,0,0,0,0,0,0
30,0,0,0,3,0,0,1,6,4,0
30,1,0,4,0,0,0,2,7,1,0
30,0,0,3,3,0,0,0,2,0,0
30,0,0,0,0,0,0,1,4,0,0
30,0,0,0,0,0,0,0,1,0,0
30,0,0,0,2,0,0,0,1,0,0
30,0,0,0,0,1,0,0,2,1,0
30,0,0,1,2,0,0,0,1,0,0
30,0,0,0,1,0,0,1,3,1,0
30,0,0,0,0,0,0,0,1,1,0
31,0,0,0,0,0,0,0,4,0,0
31,0,1,0,0,0,0,0,1,0,0
31,0,0,1,0,0,0,1,0,0,0
31,0,0,0,0,0,0,0,1,0,0
32,1,0,0,1,0,0,0,1,0,0
32,0,0,0,0,0,0,0,1,0,0
32,1,0,0,0,0,0,0,7,0,0
32,0,1,1,2,0,0,0,1,0,0
32,0,0,0,1,0,0,0,5,4,3
32,0,0,0,1,1,0,0,3,3,0
33,0,0,0,1,0,0,5,2,1,0
33,0,0,0,0,0,0,0,1,0,0
33,1,0,0,2,0,0,2,3,1,0
33,0,0,3,1,0,0,1,5,0,0
34,0,1,2,4,0,0,0,0,0,0
34,0,0,0,2,1,1,1,3,4,0
34,0,0,0,1,0,0,0,1,0,0
34,1,0,0,0,0,0,0,1,0,0
34,0,0,0,1,0,0,0,1,0,0
34,0,1,0,1,0,0,0,1,1,1
35,0,0,0,0,0,0,1,3,1,1
35,0,0,0,0,1,0,0,1,0,0
35,0,0,2,0,1,1,0,1,0,0
35,1,0,0,1,0,0,0,1,0,0
35,0,0,0,0,0,0,0,1,1,0
35,0,0,12,1,1,0,0,0,0,0
36,0,0,2,1,0,0,0,1,2,0
36,0,0,0,0,1,0,2,4,4,0
36,0,0,2,0,0,0,1,6,2,0
36,0,0,1,0,1,0,1,3,0,0
36,0,0,2,8,0,0,1,2,0,0
37,0,0,0,0,2,0,0,1,0,0
37,0,0,0,0,0,0,0,1,0,1
37,0,0,0,1,0,0,0,0,0,0
37,0,0,0,2,0,0,0,1,0,1
37,0,0,3,1,1,0,0,3,0,3
37,1,0,0,1,0,0,0,3,3,1
37,1,0,0,0,1,0,0,0,1,0
37,0,0,0,4,0,0,0,2,0,0
37,0,0,0,16,0,0,2,1,0,0
38,0,0,1,1,0,0,0,0,0,0
38,0,0,0,3,0,0,0,1,0,0
38,0,0,1,1,0,0,1,2,0,1
38,0,0,0,0,2,0,0,1,0,0
38,0,0,0,0,0,0,2,3,0,0
38,0,0,0,2,0,0,0,2,0,2
38,0,0,0,0,0,0,1,3,1,0
38,0,0,0,0,0,0,0,3,0,0
38,1,0,2,1,0,0,4,4,4,2
38,0,0,0,0,0,0,0,5,2,0
39,0,0,0,3,0,0,0,1,1,0
39,0,0,5,0,0,0,3,2,2,0
39,0,1,1,1,0,0,0,1,0,0
39,0,0,1,0,0,0,0,0,1,0
39,0,0,0,3,0,0,0,0,0,0
39,0,0,0,2,0,0,0,2,0,0
39,1,0,0,0,1,0,1,1,0,0
39,1,0,0,0,1,0,0,2,2,0
39,0,0,0,1,1,0,0,0,0,0
39,1,0,1,2,0,1,2,2,2,0
39,1,0,0,2,0,0,0,1,0,0
39,0,0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,1,0,0
39,0,0,0,0,0,0,0,1,2,0
40,0,0,1,2,0,0,2,1,0,0
40,0,0,0,0,1,0,0,1,1,0
40,0,0,0,0,1,0,0,0,0,0
40,0,0,0,1,0,0,1,1,0,0
40,0,0,0,1,0,0,0,0,0,0
40,0,0,4,2,0,0,0,1,0,0
40,1,0,0,0,0,0,1,1,0,0
40,1,0,0,1,1,0,1,1,0,1
40,0,0,0,0,0,0,0,3,0,0
41,1,0,0,0,1,0,0,1,1,3
41,0,0,0,1,0,0,2,1,0,0
41,0,0,0,0,1,0,0,0,0,0
41,0,0,0,0,0,0,0,1,0,0
41,0,0,0,3,0,0,0,4,0,0
41,0,0,1,2,1,0,0,0,0,0
42,0,0,0,2,1,0,0,3,1,0
42,0,0,0,1,0,0,0,0,1,0
42,0,0,0,0,2,0,1,5,1,1
42,0,0,0,0,0,0,0,1,0,0
42,0,0,0,2,2,1,0,3,3,0
42,0,0,0,0,0,0,0,4,0,0
42,0,0,0,0,0,0,0,1,0,0
43,0,0,0,4,1,0,0,0,1,0
43,0,0,0,1,0,0,0,1,0,0
43,0,0,0,0,0,0,0,2,0,0
43,0,0,1,2,0,1,1,4,6,0
44,0,0,0,0,1,0,4,2,0,0
44,0,0,0,0,0,0,2,1,4,6
44,0,0,0,0,0,0,2,0,2,1
44,0,0,0,1,0,0,6,1,1,0
44,1,0,0,0,0,0,1,0,1,0
44,0,0,0,0,0,0,0,1,0,0
45,0,0,0,0,0,0,1,1,3,0
45,0,0,0,0,0,0,0,2,2,1
45,0,0,0,0,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,1,0
45,1,0,1,1,0,0,0,2,1,0
45,0,0,0,0,0,0,2,5,4,1
45,0,0,2,0,1,0,1,2,0,0
45,0,0,0,0,0,0,1,1,0,0
45,1,0,0,0,0,0,0,0,3,0
45,0,0,0,0,0,0,1,0,1,0
45,0,0,0,0,0,0,0,0,1,0
45,1,0,0,0,0,1,1,1,0,0
46,0,0,0,0,0,0,3,6,2,0
46,0,0,0,2,0,0,0,0,1,0
46,1,0,0,0,0,0,3,4,2,1
47,0,0,0,0,2,0,0,1,2,0
47,0,0,1,0,0,0,10,14,1,1
47,1,0,1,0,0,0,2,1,2,1
47,1,0,0,0,0,0,0,1,1,0
47,0,0,0,1,0,0,1,1,0,0
47,0,0,0,0,0,0,0,1,2,0
48,0,0,0,0,0,0,2,0,5,2
48,0,0,0,0,0,0,2,1,1,0
48,0,0,3,2,0,0,1,0,2,0
49,0,0,0,0,0,0,1,6,2,0
49,0,0,1,0,0,0,0,1,1,0
49,0,0,1,0,0,0,1,2,0,0
49,0,0,0,0,0,0,1,0,0,0
49,1,0,0,0,0,0,0,1,0,5
49,1,0,0,0,0,0,1,0,1,1
50,0,0,0,0,0,1,1,1,0,0
50,0,0,1,1,0,0,0,4,2,1
50,0,0,1,1,0,0,2,0,0,1
50,0,0,0,0,0,0,1,0,0,1
50,0,0,0,0,0,0,1,1,0,0
50,1,0,1,0,0,0,0,1,1,0
50,0,0,0,0,0,0,0,0,1,0
50,0,0,0,1,0,0,0,1,0,0
50,0,0,0,0,0,0,0,2,1,1
51,1,0,1,0,0,0,0,2,2,1
51,1,0,0,0,0,0,0,0,1,0
51,0,0,0,0,1,0,3,0,1,1
51,0,0,2,3,0,0,0,3,1,0
52,0,0,0,0,3,0,0,1,1,0
52,0,0,0,0,0,0,0,0,2,0
52,0,0,0,0,0,0,1,1,0,0
52,0,0,0,1,0,0,0,0,1,0
52,0,0,0,0,0,0,0,1,0,0
52,0,0,0,0,0,0,0,1,0,2
53,1,0,0,3,0,0,1,2,1,1
53,0,0,0,0,0,0,1,0,0,0
53,1,0,0,0,0,0,0,0,1,0
53,0,0,2,0,0,0,0,1,1,0
54,0,0,0,0,0,0,1,3,2,1
54,1,0,1,0,0,0,0,1,0,0
54,0,0,0,0,0,0,1,0,2,0
54,0,0,0,0,0,0,1,1,1,0
54,0,0,1,0,0,0,0,0,0,0
54,0,0,0,2,0,0,4,2,0,0
54,0,0,0,0,0,0,1,0,1,0
54,0,0,0,0,0,0,0,0,1,0
54,1,0,0,0,0,0,0,1,0,0
54,0,0,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,0,0,1,0
55,0,0,0,0,0,0,0,0,1,0
55,0,0,1,0,0,0,0,0,1,0
55,0,0,0,0,0,0,1,0,1,0
55,0,0,0,0,0,0,0,1,2,1
55,0,0,0,0,0,0,0,1,2,0
55,0,0,0,0,0,0,0,0,1,0
55,1,0,0,0,0,0,0,2,2,0
55,0,0,0,0,0,0,5,0,3,0
55,0,0,0,0,0,0,1,0,1,0
56,1,0,0,0,0,0,1,0,1,1
56,1,0,0,1,0,0,1,0,1,0
57,0,0,0,0,0,0,0,4,2,0
57,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,1,1
57,0,0,0,0,1,0,1,0,3,0
57,0,0,0,1,1,0,0,1,2,0
57,1,0,0,0,0,0,0,0,2,0
57,0,0,0,0,0,0,0,0,2,0
58,1,0,0,0,0,0,0,0,4,1
58,1,0,1,1,0,0,0,1,1,0
58,0,0,0,0,0,0,0,1,1,0
58,0,0,0,0,1,0,0,2,2,0
58,1,0,0,1,0,1,2,6,0,0
59,0,0,0,0,0,0,0,1,1,0
59,0,0,0,0,0,0,0,2,2,0
59,0,0,0,1,0,0,0,2,0,0
59,0,0,0,0,0,0,0,0,2,0
59,1,0,1,2,0,0,1,1,2,0
59,0,0,0,0,0,0,0,0,0,3
59,0,0,0,0,0,0,0,0,1,0
59,1,0,2,0,0,0,2,0,1,0
59,1,0,0,0,0,0,0,0,1,0
59,1,0,0,2,0,0,0,1,0,1
59,1,0,0,0,0,0,2,0,4,0
59,0,0,0,0,0,0,0,0,1,0
59,0,0,0,0,0,0,0,0,1,1
60,0,0,0,0,0,0,0,2,0,0
60,0,0,2,7,0,0,5,4,2,0
60,0,0,0,0,3,0,2,0,1,0
60,0,0,0,0,0,0,0,1,0,0
60,0,0,0,1,0,0,0,2,1,0
60,0,0,0,7,0,0,0,2,2,1
60,0,0,0,0,0,0,0,0,1,0
60,0,0,0,2,0,0,1,0,1,0
61,1,0,0,0,0,0,0,2,1,0
61,0,0,0,0,0,0,0,1,1,1
61,0,0,0,0,0,0,0,0,1,1
61,0,0,0,0,0,0,0,0,2,0
61,1,0,0,0,0,0,0,2,0,0
61,0,0,0,0,1,0,0,4,0,1
62,0,1,1,0,0,0,0,3,1,1
63,1,0,0,0,0,0,0,2,0,1
63,0,0,0,0,0,0,0,1,1,0
63,0,0,0,0,0,0,0,1,1,0
63,0,0,0,0,0,0,0,0,0,1
63,0,0,0,2,0,0,0,1,0,2
63,0,0,0,1,1,0,1,2,2,0
63,0,0,0,0,0,0,0,0,1,0
63,0,0,0,0,0,0,0,0,1,0
63,0,0,0,0,0,0,0,0,0,1
63,0,0,0,0,0,0,0,0,1,0
64,0,0,0,1,0,0,0,1,0,1
64,0,0,0,0,0,0,0,0,1,0
64,0,0,0,0,0,0,0,0,1,1
64,1,0,0,0,0,0,0,0,2,0
64,0,0,1,0,1,0,0,3,1,1
65,0,0,2,1,0,0,2,1,0,2
65,0,0,0,0,0,0,0,0,4,1
65,0,0,0,1,2,0,0,2,0,0
65,0,0,1,0,0,0,0,1,8,0
65,1,0,0,0,2,0,0,0,0,0
65,0,0,0,0,0,0,0,0,1,0
65,1,0,1,1,0,0,0,0,0,0
66,0,0,0,0,0,0,3,0,3,0
66,0,0,0,3,0,0,0,0,0,0
67,0,0,0,0,0,0,1,0,0,0
67,0,0,0,1,0,0,1,1,1,0
68,0,0,0,0,0,0,0,0,0,2
69,1,0,0,1,0,0,0,0,0,1
70,0,0,0,0,0,0,1,1,1,0
70,0,0,0,0,0,0,0,0,1,2
70,0,0,0,0,0,0,1,0,0,1
70,1,0,0,0,0,0,0,1,0,1
71,0,0,0,0,1,0,0,1,1,1
72,0,0,0,0,0,0,0,1,0,2
72,0,0,0,0,0,0,0,0,0,2
72,1,0,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,1,1,2,2
73,1,0,0,0,1,0,2,2,1,1
74,0,0,0,0,1,0,1,1,0,0
74,0,0,0,0,0,0,1,0,0,1
75,0,0,1,0,0,0,0,0,0,0
77,1,0,0,0,0,0,0,0,0,1
78,1,0,0,2,1,0,2,3,2,0
79,0,0,0,0,0,0,0,0,1,0
